z,prep (post kz-fft),nufft,lam0.02,lam0.08,lam0.25,glam0.02,glam0.08,glam0.25,b1_den_median
2.500000000000000000e+01,2.936623241112101823e-05,1.544893530081026256e-05,2.905401379393879324e-05,2.856074206647463143e-05,2.400761331955436617e-05,2.916188896051608026e-05,2.873972152883652598e-05,2.813129140122327954e-05,1.081057071685791016e+00
2.600000000000000000e+01,2.847857649612706155e-05,1.499035352026112378e-05,2.805600888677872717e-05,2.770901119220070541e-05,2.319164195796474814e-05,2.817300628521479666e-05,2.770898936432786286e-05,2.719438816711772233e-05,1.088072299957275391e+00
2.700000000000000000e+01,2.746765130723360926e-05,1.439476636733161286e-05,2.696671253943350166e-05,2.641169157868716866e-05,2.232404222013428807e-05,2.699485594348516315e-05,2.661225335032213479e-05,2.596167541923932731e-05,1.094197988510131836e+00
2.800000000000000000e+01,2.614779077703133225e-05,1.373943996441084892e-05,2.544624112488236278e-05,2.522932300053071231e-05,2.197332105424720794e-05,2.553801095928065479e-05,2.523381954233627766e-05,2.483994103386066854e-05,1.105703353881835938e+00
2.900000000000000000e+01,2.516014683351386338e-05,1.324743789155036211e-05,2.464411227265372872e-05,2.430874701531138271e-05,2.395057344983797520e-05,2.465055877109989524e-05,2.431149187032133341e-05,2.394959665252827108e-05,1.104694485664367676e+00
3.000000000000000000e+01,2.421267890895251185e-05,1.285309826926095411e-05,2.370861875533591956e-05,2.343901724088937044e-05,2.275506631121970713e-05,2.372490234847646207e-05,2.340022365387994796e-05,2.301803942827973515e-05,1.105655670166015625e+00
3.100000000000000000e+01,2.335393583052791655e-05,1.243215501744998619e-05,2.286025846842676401e-05,2.257947562611661851e-05,2.219783345935866237e-05,2.277421481267083436e-05,2.254863466077949852e-05,2.220087299065198749e-05,1.112936139106750488e+00
3.200000000000000000e+01,2.273635982419364154e-05,1.199380585603648797e-05,2.203504118369892240e-05,2.175960253225639462e-05,2.136705552402418107e-05,2.197000867454335093e-05,2.159101131837815046e-05,2.059522012132219970e-05,1.131612539291381836e+00
3.300000000000000000e+01,2.212712206528522074e-05,1.147958664660109207e-05,2.100088568113278598e-05,2.084472907881718129e-05,2.034700082731433213e-05,2.094808587571606040e-05,2.054751348623540252e-05,1.969599725271109492e-05,1.175572395324707031e+00
3.400000000000000000e+01,2.154333196813240647e-05,1.141932716564042494e-05,2.078932084259577096e-05,2.053436219284776598e-05,1.995159618672914803e-05,2.074839903798419982e-05,2.021898581006098539e-05,1.908207377709913999e-05,1.135572552680969238e+00
3.500000000000000000e+01,2.106117244693450630e-05,1.093164519261335954e-05,1.971610799955669791e-05,1.928074379975441843e-05,1.821598198148421943e-05,1.980528213607612997e-05,1.924001117004081607e-05,1.820483703340869397e-05,1.195684432983398438e+00
3.600000000000000000e+01,2.043372478510718793e-05,1.057033205142943189e-05,1.900416282296646386e-05,1.849546970333904028e-05,1.747300120769068599e-05,1.905337194330058992e-05,1.847588282544165850e-05,1.746447378536686301e-05,1.229909181594848633e+00
3.700000000000000000e+01,1.975503801077138633e-05,1.008302660920890048e-05,1.809684545150958002e-05,1.766684181347955018e-05,1.673594124440569431e-05,1.810060530260670930e-05,1.767791400197893381e-05,1.674033410381525755e-05,1.256448030471801758e+00
3.800000000000000000e+01,1.909255479404237121e-05,9.556680197420064360e-06,1.719588908599689603e-05,1.673489350650925189e-05,1.586929647601209581e-05,1.723188324831426144e-05,1.682896618149243295e-05,1.571230859553907067e-05,1.285621166229248047e+00
3.900000000000000000e+01,1.851341585279442370e-05,8.984370651887729764e-06,1.620824696146883070e-05,1.590960891917347908e-05,1.595851244928780943e-05,1.609497485333122313e-05,1.556392635393422097e-05,1.342890027444809675e-05,1.356434583663940430e+00
