t_s,nufft,lam0.02,lam0.08,lam0.25,glam0.02,glam0.08,glam0.25
1.351529993081172449e+02,2.764618693618103862e-05,5.737842730013653636e-05,5.723090725950896740e-05,5.361260991776362062e-05,5.711981066269800067e-05,5.735921877203509212e-05,5.219038939685560763e-05
1.387847497693718424e+02,3.358312824275344610e-05,6.533045234391465783e-05,6.077800935599952936e-05,5.424026312539353967e-05,6.563030910911038518e-05,6.274745828704908490e-05,5.310115375323221087e-05
1.424165002306264114e+02,3.040980482182931155e-05,6.120752368588000536e-05,6.006521289236843586e-05,5.419982335297390819e-05,6.128579116193577647e-05,6.139792094472795725e-05,5.301320197759196162e-05
1.460482506918810088e+02,3.182098953402601182e-05,6.306024442892521620e-05,6.006663898006081581e-05,5.422217509476467967e-05,6.337068043649196625e-05,6.152767309686169028e-05,5.289048567647114396e-05
1.496800011531356063e+02,3.010871296282857656e-05,6.078751175664365292e-05,5.830789086758159101e-05,5.302353747538290918e-05,6.109793321229517460e-05,5.943631549598649144e-05,5.194714321987703443e-05
1.533117516143901753e+02,2.728139770624693483e-05,5.551690992433577776e-05,5.501275518327020109e-05,5.105999298393726349e-05,5.529736517928540707e-05,5.538301775231957436e-05,4.999621523893438280e-05
1.569435020756447727e+02,3.045340235985349864e-05,5.692400009138509631e-05,5.490058538271114230e-05,5.075262015452608466e-05,5.702854105038568377e-05,5.569448694586753845e-05,4.962855746271088719e-05
1.605752525368993702e+02,2.832264726748690009e-05,5.642096220981329679e-05,5.500551924342289567e-05,5.060935654910281301e-05,5.597010022029280663e-05,5.586806946666911244e-05,4.962255843565799296e-05
1.642070029981539676e+02,3.005044163728598505e-05,5.778203558293171227e-05,5.511417111847549677e-05,5.067709571449086070e-05,5.816330667585134506e-05,5.606201739283278584e-05,4.965220432495698333e-05
1.678387534594085366e+02,2.870004209398757666e-05,5.664053605869412422e-05,5.504863656824454665e-05,5.050461913924664259e-05,5.642828909913077950e-05,5.573429370997473598e-05,4.948046262143179774e-05
