frame,time_s,NIK-F0_NRMSE,NIK-F0_SSIM,NIK-F0_PSNR,NIK-F0_HaarPSI,NIK-sub5_NRMSE,NIK-sub5_SSIM,NIK-sub5_PSNR,NIK-sub5_HaarPSI,NIK-sub12_NRMSE,NIK-sub12_SSIM,NIK-sub12_PSNR,NIK-sub12_HaarPSI,NIK-sub16_NRMSE,NIK-sub16_SSIM,NIK-sub16_PSNR,NIK-sub16_HaarPSI,NIK-free_NRMSE,NIK-free_SSIM,NIK-free_PSNR,NIK-free_HaarPSI,GRASP-Pro_NRMSE,GRASP-Pro_SSIM,GRASP-Pro_PSNR,GRASP-Pro_HaarPSI,CS-file_NRMSE,CS-file_SSIM,CS-file_PSNR,CS-file_HaarPSI
39,20.62,0.0394,0.8275,28.0903,0.4905,0.0319,0.8889,29.9332,0.5457,0.0168,0.9373,35.5149,0.7297,0.0126,0.9447,38.0086,0.7512,0.0141,0.9252,36.9977,0.6859,0.0080,0.9756,41.8888,0.8875,0.0107,0.9460,39.4340,0.8034
40,21.14,0.0482,0.8028,26.3337,0.4644,0.0337,0.8854,29.4438,0.5868,0.0215,0.9268,33.3611,0.7137,0.0137,0.9402,37.2743,0.7361,0.0155,0.9169,36.1931,0.6654,0.0118,0.9630,38.5349,0.8293,0.0120,0.9398,38.4521,0.7897
41,21.66,0.0558,0.7810,25.0677,0.4478,0.0365,0.8784,28.7474,0.6176,0.0280,0.9099,31.0438,0.6874,0.0161,0.9337,35.8483,0.7215,0.0173,0.9079,35.2416,0.6420,0.0142,0.9627,36.9542,0.8313,0.0139,0.9319,37.1411,0.7630
42,22.18,0.0614,0.7617,24.2385,0.4372,0.0401,0.8684,27.9409,0.6260,0.0361,0.8862,28.8601,0.6557,0.0191,0.9258,34.3926,0.7103,0.0191,0.8987,34.3574,0.6227,0.0188,0.9432,34.5338,0.7826,0.0167,0.9221,35.5445,0.7269
43,22.70,0.0649,0.7452,23.7489,0.4261,0.0440,0.8562,27.1394,0.6222,0.0447,0.8587,26.9873,0.6262,0.0219,0.9173,33.1984,0.6995,0.0208,0.8904,33.6297,0.6083,0.0221,0.9345,33.1046,0.7677,0.0196,0.9111,34.1675,0.6944
44,23.23,0.0668,0.7316,23.5023,0.4041,0.0478,0.8437,26.4128,0.6123,0.0531,0.8322,25.4930,0.5960,0.0243,0.9089,32.3045,0.6905,0.0223,0.8828,33.0445,0.5935,0.0237,0.9404,32.5135,0.7830,0.0215,0.9060,33.3313,0.6587
45,23.75,0.0674,0.7208,23.4239,0.3790,0.0512,0.8321,25.8088,0.6006,0.0605,0.8101,24.3669,0.5679,0.0261,0.9012,31.6781,0.6831,0.0235,0.8756,32.5607,0.5815,0.0274,0.9134,31.2311,0.6977,0.0248,0.8941,32.1215,0.6305
46,24.27,0.0672,0.7127,23.4506,0.3610,0.0540,0.8225,25.3456,0.5794,0.0665,0.7929,23.5477,0.5193,0.0274,0.8942,31.2562,0.6746,0.0247,0.8685,32.1435,0.5691,0.0267,0.9199,31.4613,0.7250,0.0276,0.8797,31.1919,0.5902
47,24.79,0.0665,0.7068,23.5377,0.3538,0.0561,0.8153,25.0240,0.5450,0.0711,0.7802,22.9665,0.4784,0.0282,0.8881,30.9877,0.6592,0.0258,0.8615,31.7825,0.5588,0.0287,0.9140,30.8482,0.6960,0.0298,0.8669,30.5112,0.5643
48,25.31,0.0656,0.7030,23.6555,0.3542,0.0573,0.8107,24.8303,0.5208,0.0744,0.7714,22.5712,0.4720,0.0287,0.8830,30.8367,0.6452,0.0267,0.8548,31.4703,0.5537,0.0310,0.8822,30.1835,0.5997,0.0324,0.8594,29.7948,0.5624
49,25.84,0.0646,0.7013,23.7896,0.3583,0.0580,0.8082,24.7358,0.5176,0.0764,0.7663,22.3421,0.4795,0.0290,0.8787,30.7602,0.6268,0.0276,0.8479,31.1835,0.5459,0.0268,0.9025,31.4441,0.6626,0.0344,0.8473,29.2629,0.5387
50,26.36,0.0636,0.7014,23.9298,0.3655,0.0582,0.8073,24.7064,0.5315,0.0769,0.7650,22.2808,0.4884,0.0292,0.8747,30.7006,0.6160,0.0285,0.8406,30.8968,0.5380,0.0308,0.8885,30.2327,0.6204,0.0366,0.8355,28.7361,0.5156
51,26.88,0.0626,0.7030,24.0734,0.3754,0.0581,0.8075,24.7194,0.5486,0.0758,0.7677,22.4067,0.5008,0.0295,0.8702,30.5965,0.6122,0.0296,0.8329,30.5861,0.5309,0.0322,0.8658,29.8390,0.5554,0.0383,0.8251,28.3265,0.5066
52,27.40,0.0609,0.7082,24.3103,0.3868,0.0573,0.8117,24.8350,0.5666,0.0726,0.7775,22.7792,0.5164,0.0298,0.8684,30.5029,0.6282,0.0305,0.8284,30.3133,0.5238,0.0258,0.8848,31.7692,0.6052,0.0390,0.8116,28.1843,0.4946
53,27.92,0.0573,0.7216,24.8430,0.3961,0.0549,0.8266,25.2150,0.5787,0.0668,0.8006,23.5065,0.5283,0.0294,0.8770,30.6337,0.6359,0.0307,0.8354,30.2656,0.5141,0.0310,0.8821,30.1794,0.5377,0.0400,0.8055,27.9549,0.4895
54,28.44,0.0523,0.7414,25.6255,0.4230,0.0509,0.8469,25.8659,0.6160,0.0588,0.8307,24.6066,0.5621,0.0285,0.8885,30.8997,0.6540,0.0304,0.8462,30.3497,0.5294,0.0278,0.8856,31.1200,0.5544,0.0405,0.8066,27.8605,0.5021
55,28.97,0.0470,0.7633,26.5608,0.4420,0.0458,0.8650,26.7749,0.6352,0.0498,0.8577,26.0531,0.5822,0.0276,0.8952,31.1943,0.6587,0.0300,0.8528,30.4525,0.5360,0.0222,0.9043,33.0898,0.6271,0.0414,0.7943,27.6636,0.4978
56,29.49,0.0421,0.7828,27.5136,0.4552,0.0402,0.8788,27.9056,0.6441,0.0411,0.8767,27.7219,0.5967,0.0268,0.8984,31.4495,0.6596,0.0298,0.8565,30.5170,0.5408,0.0244,0.9101,32.2587,0.6061,0.0417,0.7954,27.5902,0.5082
57,30.01,0.0383,0.7988,28.3467,0.4658,0.0347,0.8892,29.1869,0.6468,0.0344,0.8871,29.2600,0.6056,0.0262,0.9003,31.6483,0.6591,0.0297,0.8599,30.5542,0.5467,0.0206,0.9137,33.7386,0.6254,0.0427,0.7878,27.3960,0.4964
58,30.53,0.0357,0.8125,28.9469,0.4808,0.0299,0.8966,30.4767,0.6503,0.0315,0.8889,30.0261,0.6134,0.0257,0.9017,31.7909,0.6602,0.0295,0.8637,30.5966,0.5549,0.0223,0.9178,33.0209,0.6505,0.0437,0.7832,27.1904,0.4926
59,31.05,0.0345,0.8252,29.2475,0.4988,0.0264,0.9012,31.5523,0.6529,0.0327,0.8832,29.7092,0.6206,0.0254,0.9030,31.8918,0.6629,0.0293,0.8680,30.6581,0.5646,0.0211,0.9234,33.4996,0.6374,0.0437,0.7777,27.1885,0.4930
60,31.58,0.0345,0.8374,29.2345,0.5183,0.0247,0.9032,32.1524,0.6538,0.0364,0.8724,28.7723,0.6124,0.0252,0.9043,31.9674,0.6659,0.0290,0.8724,30.7376,0.5732,0.0238,0.9261,32.4556,0.6727,0.0438,0.7795,27.1676,0.4962
61,32.10,0.0357,0.8493,28.9428,0.5382,0.0248,0.9033,32.1282,0.6464,0.0409,0.8596,27.7742,0.5948,0.0250,0.9059,32.0322,0.6697,0.0288,0.8765,30.8237,0.5800,0.0232,0.9335,32.6922,0.6868,0.0438,0.7811,27.1668,0.5063
62,32.62,0.0379,0.8602,28.4268,0.5463,0.0264,0.9017,31.5626,0.6266,0.0449,0.8475,26.9539,0.5835,0.0249,0.9076,32.0917,0.6746,0.0285,0.8801,30.8977,0.5829,0.0221,0.9384,33.1244,0.6872,0.0431,0.7885,27.3138,0.5088
63,33.14,0.0409,0.8694,27.7722,0.5656,0.0292,0.8986,30.6924,0.6317,0.0481,0.8379,26.3609,0.5950,0.0247,0.9093,32.1326,0.6763,0.0284,0.8829,30.9443,0.5897,0.0305,0.9416,30.3054,0.7279,0.0425,0.7932,27.4310,0.5149
64,33.66,0.0443,0.8757,27.0707,0.5962,0.0325,0.8941,29.7490,0.6400,0.0503,0.8315,25.9769,0.6119,0.0247,0.9107,32.1390,0.6764,0.0283,0.8848,30.9495,0.5965,0.0236,0.9494,32.5450,0.7293,0.0419,0.7928,27.5595,0.5092
65,34.19,0.0477,0.8787,26.4285,0.6301,0.0359,0.8888,28.8926,0.6441,0.0514,0.8286,25.7767,0.6300,0.0248,0.9117,32.1088,0.6772,0.0285,0.8859,30.9146,0.6007,0.0277,0.9513,31.1389,0.7188,0.0409,0.8009,27.7649,0.5169
66,34.71,0.0504,0.8791,25.9477,0.6496,0.0388,0.8837,28.2232,0.6456,0.0516,0.8294,25.7459,0.6467,0.0249,0.9122,32.0800,0.6831,0.0286,0.8862,30.8708,0.6017,0.0341,0.9529,29.3356,0.7305,0.0403,0.8087,27.8955,0.5254
67,35.23,0.0519,0.8788,25.7034,0.6585,0.0408,0.8800,27.7802,0.6442,0.0509,0.8338,25.8719,0.6571,0.0248,0.9128,32.0978,0.6929,0.0286,0.8865,30.8679,0.6032,0.0245,0.9588,32.2286,0.7680,0.0397,0.8117,28.0231,0.5205
68,35.75,0.0518,0.8792,25.7061,0.6585,0.0418,0.8789,27.5669,0.6419,0.0493,0.8416,26.1448,0.6639,0.0246,0.9139,32.1989,0.7002,0.0284,0.8871,30.9327,0.6037,0.0325,0.9579,29.7523,0.7584,0.0390,0.8186,28.1678,0.5341
69,36.27,0.0516,0.8797,25.7531,0.6577,0.0422,0.8796,27.4994,0.6429,0.0472,0.8510,26.5270,0.6701,0.0243,0.9149,32.3041,0.7035,0.0281,0.8882,31.0121,0.6046,0.0335,0.9603,29.5044,0.7888,0.0385,0.8208,28.2886,0.5427
